Product,Price,Image
5.5 Litres Stand Mixer,"14,500",https://pictures-kenya.jijistatic.com/21156997_MzAwLTMwMC0zZmMzZDFlZWE2LTI.webp
Redberry 4in1 Juicer,"7,500",https://pictures-kenya.jijistatic.com/17485176_img-20210222-wa0131_2_300x400.webp
Balding Original Shaving Machine,"4,000",https://pictures-kenya.jijistatic.com/8962939_d8287cfc3f5a4ab48fd33b241f08e3c9_2_300x264.webp
Quality Chicco Baby Carrier,"3,000",https://pictures-kenya.jijistatic.com/36158444_MzAwLTMwMC0xMmZiNGZmOWY1LTI.webp
Weaning Set Available In Pink And Blue,"2,500",https://pictures-kenya.jijistatic.com/30560684_MzAwLTMwMC1lNGU1MTRlMmMyLTI.webp
Swan 3.8 Ltrs Humidifier,"4,500",https://pictures-kenya.jijistatic.com/22787719_MzAwLTMwMC0zYWIxNjA5MThmLTI.webp
Magic Nutri Bullet,"7,000",https://pictures-kenya.jijistatic.com/20406917_MzAwLTMxNy0xOGI1ZDA5MjQ5LTI.webp
Bedside Mats,"2,500",https://pictures-kenya.jijistatic.com/7078578_img-20200228-wa0003_2_300x300.webp
Saral Pressure Cooker,"3,500",https://pictures-kenya.jijistatic.com/8341707_fb-img-1587907322601_2_300x300.webp
Bathroom Organizer,"4,500",https://pictures-kenya.jijistatic.com/8200501_4c4b113632af4c05ab46e22c5c77343f_2_300x634.webp
Cereal Containers 2.5ltrs,500,https://pictures-kenya.jijistatic.com/8552397_fb-img-1588709120177_2_300x300.webp
6pcs Stainless Steel Hotpots,"6,500",https://pictures-kenya.jijistatic.com/60071676_MzAwLTQwMC02NmNjYjBiZTM2.webp
Men Khaki Trousers,"1,500",https://pictures-kenya.jijistatic.com/52459638_MzAwLTM1NC0xMzcyYWEwNjU2.webp
Nutri Bullet,"7,000",https://pictures-kenya.jijistatic.com/30879128_MzAwLTMwMC1iZmQ5NjhkZDQ5LTI.webp
Baby Moses Basket,"2,500",https://pictures-kenya.jijistatic.com/26214033_MzAwLTQwMC1iNjgxN2RiYzkxLTI.webp
Magic Folding Hangers,199,https://pictures-kenya.jijistatic.com/21131777_MzAwLTMwMC05MDk3NDY5NTYyLTI.webp
Quartz Room Heater (Tube Heater With Light),"2,500",https://pictures-kenya.jijistatic.com/11324441_fb-img-1596830578314_2_300x313.webp
Stowell Storage Containers,"2,500",https://pictures-kenya.jijistatic.com/8882089_img-20200517-wa0151_2_300x300.webp
3in1 Ceramic Coffee /Sugar/Tea Containers,"3,000",https://pictures-kenya.jijistatic.com/9015031_img-20200523-wa0205_2_300x400.webp
Home Gym Equipments,"2,500",https://pictures-kenya.jijistatic.com/5476811_fb-img-1577644888536_2_300x300.webp
Jordan 9 Sizes 40-45 Price KSH 3500,"3,500",https://pictures-kenya.jijistatic.com/50128208_MzAwLTMwMC0xMmMzZTUwOTY4.webp
Commercial Potato Slicer,"4,500",https://pictures-kenya.jijistatic.com/31085189_MzAwLTMwMC01YWU1OTdkMjkwLTI.webp
Hu Baby Rocker,"4,500",https://pictures-kenya.jijistatic.com/24846410_MzAwLTMwMC1mNmIwZWY5NmM2LTI.webp
Baby Blankets,"1,500",https://pictures-kenya.jijistatic.com/10948913_img-20200729-131551_2_300x401.webp
"2in1 Chess, Checkers","1,800",https://pictures-kenya.jijistatic.com/8325035_img-20200425-wa0074_2_300x533.webp
Quality Men Boots,"2,500",https://pictures-kenya.jijistatic.com/50702283_MzAwLTMwMC01NjM0ZTlmOTVk.webp
10ltrs Electric Tea Urn,"10,000",https://pictures-kenya.jijistatic.com/19828064_MzAwLTQwMC1mNmI5MTM3YTdmLTI.webp
Signature Granite Cooking Set,"8,500",https://pictures-kenya.jijistatic.com/7209680_fb-img-1583308323018_2_300x651.webp
Infantino 4in1 Baby Carrier,"3,500",https://pictures-kenya.jijistatic.com/46697438_MzAwLTM0NS01YjkyZTA2YTMx.webp
5in1 Body Shaver,"3,000",https://pictures-kenya.jijistatic.com/42683086_MzAwLTMwMC0yN2JlYWZjOWI4LTI.webp
Toilet Organizer at 3500,"3,500",https://pictures-kenya.jijistatic.com/30660958_MzAwLTMwMC04ZDBjMTNiY2JlLTI.webp
Iso Fix 360 Car Seat,"16,500",https://pictures-kenya.jijistatic.com/29029667_MzAwLTMwMC1hY2NlYjNhMzVhLTI.webp
Skater Vans Available for Delivery,"1,800",https://pictures-kenya.jijistatic.com/27105304_MzAwLTI5NS02MzRmOGMyYWIwLTI.webp
Black Fluffy Carpet,"2,800",https://pictures-kenya.jijistatic.com/21227380_MzAwLTMwMi0wOTI0M2EyMjRkLTI.webp
6pcs Water Glasses,999,https://pictures-kenya.jijistatic.com/11198586_img-20200806-152329_2_300x224.webp
Dessini Double Grill Pan,"3,500",https://pictures-kenya.jijistatic.com/1275835_fb-img-1548949124511_2_300x300.webp
Men Loafers Size 40 to 45,"2,500",https://pictures-kenya.jijistatic.com/33013881_MzAwLTQwMC1lNzRmOGE2YjRjLTI.webp
Self Adhesive Marble Profile Vinyl Paper,"1,500",https://pictures-kenya.jijistatic.com/30772356_MzAwLTM4OS04YTNlY2Q4ODY3LTI.webp
High Quality 4 in 1 Lion Adjustable Musical Walker,"6,000",https://pictures-kenya.jijistatic.com/25579332_MzAwLTMwMC02MGQ3ZTRhZWFhLTI.webp
Isofix 360 Rotation Car Seat,"16,500",https://pictures-kenya.jijistatic.com/22405880_MzAwLTMwMC0wZmUxYjNkYWRkLTI.webp
"Signature Quality 3 in One Blenders Blender,Grinder, Mincer","4,300",https://pictures-kenya.jijistatic.com/18301770_eedd544622854dda88b922da7d8acd19_2_300x225.webp
2 Cylinder Tyre Inflator With Tools,"5,500",https://pictures-kenya.jijistatic.com/8965501_gridplus-1590118328117_2_300x300.webp
Throw Pillows,650,https://pictures-kenya.jijistatic.com/1325573_fb-img-1559911645323_2_300x300.webp
2in1 Scrabble Board Game and Monopoly at 1800,"1,800",https://pictures-kenya.jijistatic.com/41008975_MzAwLTMwMC05MTI1MDZiZTE2LTI.webp
Double Warmer at 13000,"13,000",https://pictures-kenya.jijistatic.com/32270953_MzAwLTIyMC02YjgwZDA5MzMxLTI.webp
Quality Baby Carrier Available for Delivery,"1,500",https://pictures-kenya.jijistatic.com/30599148_MzAwLTMwMC01OTEyNDhiODIwLTI.webp
Tent Like Mosquito Net,"2,000",https://pictures-kenya.jijistatic.com/29507083_MzAwLTIyNS1kNTNkZGIxYzQwLTI.webp
Redberry Sufurias,"4,500",https://pictures-kenya.jijistatic.com/47091290_MzAwLTE2OS1iMjU3MjdlNmVl.webp
Men Slim Fit Jeans,"1,500",https://pictures-kenya.jijistatic.com/8838131_ccf4cc665dc347a6bf9fe0b2bf9f4891_2_300x300.webp
Insulated Lunch Bag,"1,500",https://pictures-kenya.jijistatic.com/45556726_MzAwLTMwMC0zNGE1MDFhMTU0.webp
Commercial Gas Deep Fryer,"18,500",https://pictures-kenya.jijistatic.com/50354069_MzAwLTY4NC1lNzE3NTMxODYz.webp
12pcs Stainless Steel Cooking Set With A Kettle,"6,500",https://pictures-kenya.jijistatic.com/8224361_img-20200420-wa0161_2_300x356.webp
Quality Soft Blankets,"2,500",https://pictures-kenya.jijistatic.com/20189156_MzAwLTUwMC0yODM1NmQ2MDk0LTI.webp
20 Litres Stainless Steel Thermo Jar,"8,000",https://pictures-kenya.jijistatic.com/31973182_MzAwLTQzOS0zNGNmNWZlOGQwLTI.webp
4.5 Ltrs Deep Fryer,"5,500",https://pictures-kenya.jijistatic.com/5791323_img-20200113-170727_2_300x224.webp
Airforce White Sneakers,"2,500",https://pictures-kenya.jijistatic.com/23073651_MzAwLTI4OS01MThjMGZhZTY3LTI.webp
Water Dispenser,"5,700",https://pictures-kenya.jijistatic.com/5011556_photogrid-1575809049246_2_300x300.webp
Men Timberland,"4,500",https://pictures-kenya.jijistatic.com/59159883_MzAwLTMwMC02NDdhMTc2ZTA0.webp
Baby Walker,"3,500",https://pictures-kenya.jijistatic.com/1275190_img-20171120-wa0004_2_300x533.webp
Cabbage Cutter Available for Delivery,999,https://pictures-kenya.jijistatic.com/31697606_MzAwLTMwMC00Yzg0NGZkYzBiLTI.webp
Kitchen Utensils,"5,000",https://pictures-kenya.jijistatic.com/22316948_MzAwLTI2OC1lMTNiODg3OTkyLTI.webp
Chips Display /Chips Warmer,"8,000",https://pictures-kenya.jijistatic.com/47880998_MzAwLTQwMC0yN2U0ZTM1ZGI3.webp
Redberry Sufurias,"4,500",https://pictures-kenya.jijistatic.com/44838561_MzAwLTQwMy1mNDU3ZTkyMWYw.webp
3 Seater Inflatable Sofabed With A Pump,"14,500",https://pictures-kenya.jijistatic.com/6982473_photogrid-1582310986937_2_300x300.webp
Pure Leather Men Shoes,"5,000",https://pictures-kenya.jijistatic.com/18618953_img-20210329-wa0139_2_300x225.webp
Baby Foldable Bath Tub,"2,500",https://pictures-kenya.jijistatic.com/57258055_MzAwLTMwMC1jZTA1M2RjMDg5.webp
Moses Basket,"2,500",https://pictures-kenya.jijistatic.com/42831293_MzAwLTMwMC0wZmRjZDk1NmI3LTI.webp
Inflatable Seat With A Footrest,"6,500",https://pictures-kenya.jijistatic.com/11016778_img-20200731-wa0157_2_300x400.webp
Six Pack Machine,"8,500",https://pictures-kenya.jijistatic.com/7276366_img-20200306-134449_2_300x331.webp
Juakali Chapati Pan,999,https://pictures-kenya.jijistatic.com/8224084_img-20200420-210530_2_300x268.webp
5pcs Throw Pillows,"1,800",https://pictures-kenya.jijistatic.com/20459559_MzAwLTIyNS1jOGI5NWIzZTBmLTI.webp
4in1 Motivational Water Bottle,"1,800",https://pictures-kenya.jijistatic.com/59993856_MzAwLTE3Ny1mODYzZGM0NmFi.webp
Redberry Water Dispenser,"7,500",https://pictures-kenya.jijistatic.com/21599579_MzAwLTQwMC03NmRjNzQyNWJhLTI.webp
Gold Nunix Water Dispenser,"9,500",https://pictures-kenya.jijistatic.com/45243855_MzAwLTUzMi01OWFjZjU0NTU2.webp
Hiprest Baby Carrier at 2800,"2,800",https://pictures-kenya.jijistatic.com/57258568_MzAwLTMwMC0zY2RkMTBmODMx.webp
Shelf Liner,"1,500",https://pictures-kenya.jijistatic.com/21938265_MzAwLTMwMC0yZjQ4YmFmYjVmLTI.webp
10pcs Cake Icing Decorater,"1,000",https://pictures-kenya.jijistatic.com/8966619_nimac-home-and-decor-on-instagram-10pcs-cake-ic-1-jpg_2_300x375.webp
A Dozen of White Face Towels,"1,500",https://pictures-kenya.jijistatic.com/28386603_MzAwLTM2Ni1jNDk3NTljMjRhLTI.webp
Magic Hose Pipes,"3,000",https://pictures-kenya.jijistatic.com/9076401_img-20200526-wa0006_2_300x300.webp
Baby Toto Wrap,"1,800",https://pictures-kenya.jijistatic.com/47716457_MzAwLTMwMC1jYTM1ZDIzZTY2.webp
Quality Kitchen Mats,"1,800",https://pictures-kenya.jijistatic.com/31622621_MzAwLTMwMC1mNGZiMTliZTBkLTI.webp
3pcs Rice Plastic Containers,999,https://pictures-kenya.jijistatic.com/22841432_MzAwLTMwNC03MjM5NjRkYTJmLTI.webp
Bottom Load Water Dispenser,"15,000",https://pictures-kenya.jijistatic.com/21405613_MzAwLTQ2Ni03YmI0ZjdkNTU4LTI.webp
Electric Shaver And Hair Clippers,"4,000",https://pictures-kenya.jijistatic.com/8962917_0ca19ece8fab48a0bcdb03e6ee39f339_2_300x332.webp
Mix And Match Bedsheet With 4 Pillowcases,"3,000",https://pictures-kenya.jijistatic.com/8475414_img-20200502-wa0087_2_300x403.webp
Baby Rocker With Music And Vibration Effect,"6,000",https://pictures-kenya.jijistatic.com/2871917_fb-img-1568042144908_2_300x300.webp
6pcs Table Mats and Runner,"1,800",https://pictures-kenya.jijistatic.com/34953484_MzAwLTMwMC0xZGI4MWUwMjlmLTI.webp
High Feeding Chair,"7,000",https://pictures-kenya.jijistatic.com/27985694_MzAwLTQwMC02OTRkNzRiZmI5LTI.webp
Hot and Normal Water Dispenser,"7,500",https://pictures-kenya.jijistatic.com/21600346_MzAwLTMwMC1mNDkxMWNkMWMwLTI.webp
2in1 Lyons Blender,"2,500",https://pictures-kenya.jijistatic.com/12768342_img-20200924-wa0035_2_300x300.webp
Non-explosive Pressure Cooker,"2,900",https://pictures-kenya.jijistatic.com/7074400_fb-img-1582833727804_2_300x221.webp
Quality Food Warmer We Deliver Country Wide,"7,500",https://pictures-kenya.jijistatic.com/43012521_MzAwLTMwMC0wOTZhMjU0ZTJmLTE.webp
Baby Play Pen,"11,000",https://pictures-kenya.jijistatic.com/26258622_MzAwLTE5NC1mNjU3MjlkZDVjLTI.webp
Food Warmer,"10,000",https://pictures-kenya.jijistatic.com/21935784_MzAwLTMwMC04NDYwMmU0ZDNkLTI.webp
Brown Patched Carpet,"2,800",https://pictures-kenya.jijistatic.com/21227310_MzAwLTMwMC1mYTc2OTA3NGE4LTI.webp
Electric Whisk,"1,800",https://pictures-kenya.jijistatic.com/11107141_fb-img-1596432996951_2_300x266.webp
Unbreakable Thermos,"2,000",https://pictures-kenya.jijistatic.com/1238504_img-20190702-wa0066_2_300x297.webp
Coloured Luxury Bathrobes,"2,500",https://pictures-kenya.jijistatic.com/31783207_MzAwLTIyNS0zYmFkMGM1MmJiLTI.webp
Signature Tea Urn,"10,500",https://pictures-kenya.jijistatic.com/25350185_MzAwLTMwMC1jMWVkMTc3NjNjLTI.webp
Quality Baby Walkers With Music and a Stepping Mat,"3,450",https://pictures-kenya.jijistatic.com/20524476_MzAwLTMwMC0xYmE5YTI4MjA4LTI.webp
Original Dessini Double Grill Pan,"3,000",https://pictures-kenya.jijistatic.com/10191543_fb-img-1593867295662_2_300x300.webp
Vans,"1,800",https://pictures-kenya.jijistatic.com/49598758_MzAwLTI4Mi1mMzFlZWE0ODEx.webp
Electric Lunchbox,"1,500",https://pictures-kenya.jijistatic.com/30878968_MzAwLTMwMC03NGU0Zjk3M2Y5LTI.webp
Gold Hot and Cold Water Dispenser,"10,000",https://pictures-kenya.jijistatic.com/22055569_MzAwLTQwMC1kMTIzNDkzYzIyLTI.webp
Saloon Curtains With Wooden Beads,"3,500",https://pictures-kenya.jijistatic.com/20255696_MzAwLTMwMC1kNDY0YjNmYjg0LTI.webp
Baby Walker With Music and a Handle,"3,500",https://pictures-kenya.jijistatic.com/8963567_gridplus-1590093825908_2_300x300.webp
Frozen Plastic Wardrobe,"6,500",https://pictures-kenya.jijistatic.com/3152337_fb-img-1569054914068_2_300x382.webp
Low Noise Kids Hair Trimmer Ksh 2000,"2,000",https://pictures-kenya.jijistatic.com/43012391_MzAwLTMwMC0xM2I3NWQzZTExLTE.webp
Toilet Ladder Available,"3,500",https://pictures-kenya.jijistatic.com/32198465_MzAwLTMwMC00MDNjZTljY2ZiLTI.webp
15 Litres Electric Tea Urn,"10,500",https://pictures-kenya.jijistatic.com/25697197_MzAwLTY2Ny1hMTBiODc5YTg3LTI.webp
Estia Room Heater,"2,500",https://pictures-kenya.jijistatic.com/20870416_MzAwLTE4Ni04MjhlZGY3YTExLTI.webp
4 Gas Burner Table Top Cooker,"4,999",https://pictures-kenya.jijistatic.com/10550446_screenshot-20200716-180700_2_300x533.webp
Non Wooven 6pcs Table Mats,"1,300",https://pictures-kenya.jijistatic.com/8818421_img-20200516-wa0100_2_300x300.webp
Marble Self Adhesive Waterproof Foil/ Wallpaper,850,https://pictures-kenya.jijistatic.com/30597415_MzAwLTMwNy1mNTUyZDYwODFmLTI.webp
Pink Baby Rocker,"4,500",https://pictures-kenya.jijistatic.com/25956938_MzAwLTMwMC0zNjczYjZiYTU0LTI.webp
Adhesive Contact Paper,800,https://pictures-kenya.jijistatic.com/23116130_MzAwLTM5NS05NWQ5MGNkM2U0LTI.webp
28cm Edenberg,"3,500",https://pictures-kenya.jijistatic.com/18198790_img-20210316-wa0248_2_300x427.webp
Tent Mosquito Net at 2000,"2,000",https://pictures-kenya.jijistatic.com/31792703_MzAwLTI5MS0xMDZjMTdiZjc2LTI.webp
Quality Dish Rack/Dish Drainer,"2,500",https://pictures-kenya.jijistatic.com/31278057_MzAwLTMwMC1lM2Y2MmE1N2M5LTI.webp
3in1 Feeding Chair,"11,000",https://pictures-kenya.jijistatic.com/25954505_MzAwLTMwMC0xY2JhM2E3YWQwLTI.webp
Electric Meat Grinder,"2,500",https://pictures-kenya.jijistatic.com/21647759_MzAwLTMwMC04MjczNWYyZjIxLTI.webp
Brown Quality Boots,"2,500",https://pictures-kenya.jijistatic.com/20158580_MzAwLTMxOC02ZDI2ODA5OTAzLTI.webp
"Super Soft Coral Fleece Blankets,150cm By 203cm","2,500",https://pictures-kenya.jijistatic.com/10612607_img-20200718-wa0044_2_300x366.webp
Popcakemaker (Vitumbua),"3,500",https://pictures-kenya.jijistatic.com/8501730_img-20200422-wa0092_2_300x300.webp
5in1 Food Processor,"9,000",https://pictures-kenya.jijistatic.com/4261857_img-20191107-154929_2_300x295.webp
Catering Food Warmers /Chafing,"8,000",https://pictures-kenya.jijistatic.com/31138047_MzAwLTMwMC0yMWYzMGEyNDliLTI.webp
Baby Rockers,"4,500",https://pictures-kenya.jijistatic.com/24850314_MzAwLTE2OS05Y2ViZjZkNzQ3LTI.webp
Black Camping / Foldable Seats,"2,500",https://pictures-kenya.jijistatic.com/22060357_MzAwLTMwMC03NjJhY2Q2ZGNiLTI.webp
Double Decker Mosquito Net,"2,500",https://pictures-kenya.jijistatic.com/19599538_MzAwLTQwMC04MWQwNDMzNTVjLTI.webp
Tent Mosquito Net,"2,000",https://pictures-kenya.jijistatic.com/1193546_fb-img-1546287784767_2_300x266.webp
Double Compartment (15L) Insulated Lunch Bag,"1,500",https://pictures-kenya.jijistatic.com/57761562_MzAwLTMwMC0xOGVjODdhNGU5.webp
Model RWD232 Redberry Water Dispenser,"6,500",https://pictures-kenya.jijistatic.com/31654978_MzAwLTM3MC1mY2ZmNGQxYzBmLTI.webp
Expandable Magic Hose,"2,800",https://pictures-kenya.jijistatic.com/22770068_MzAwLTQwMC1mOGU1Mzc1NGUwLTI.webp
Toilet Trainer,"3,500",https://pictures-kenya.jijistatic.com/20429574_MzAwLTMwMC02NGYwMTE2YzBmLTI.webp
3 Set Towels,"1,800",https://pictures-kenya.jijistatic.com/8273950_gridplus-1587622935969_2_300x300.webp
Black Cacatua Boots,"2,800",https://pictures-kenya.jijistatic.com/59360300_MzAwLTQwMC05NGEzYTMyNWNi.webp
Rebune Electric Pressure Cooker,"10,500",https://pictures-kenya.jijistatic.com/49613358_MzAwLTQwMC1kZTA0MmU4NWYz.webp
Electric Baby Shaver,"1,800",https://pictures-kenya.jijistatic.com/44907468_MzAwLTMwMC1jMjVhZTk2NWY2.webp
Macintosh Water Proof Mattress Protector ( Non - Quilted ),"1,999",https://pictures-kenya.jijistatic.com/31748259_MzAwLTMwMC05Yjk3ZWFlZTM2LTI.webp
Moses Basket /Bassinet,"2,500",https://pictures-kenya.jijistatic.com/28546775_MzAwLTM5NC0zNjQ1YzVhZjM2LTI.webp
Blue Baby Rocker,"4,500",https://pictures-kenya.jijistatic.com/25956881_MzAwLTMwMC1lODJlNGNlNDE4LTI.webp
Handheld Steam Iron,"2,500",https://pictures-kenya.jijistatic.com/21245690_MzAwLTMwMC01MGMzZmMxYjYyLTI.webp
Signature Food Warmers,"8,000",https://pictures-kenya.jijistatic.com/21011815_MzAwLTQwMC05YjUzYzdlMTdhLTI.webp
Glass Juice Dispenser With Tap and Stand,"4,000",https://pictures-kenya.jijistatic.com/20428965_MzAwLTMwMC1iMjZhMGYyOGQyLTI.webp
Fridge Base /Washing Machine Stand,"2,500",https://pictures-kenya.jijistatic.com/14674294_img-20201121-wa0102_2_300x400.webp
Power Stretch Available,"1,500",https://pictures-kenya.jijistatic.com/9019004_037f64f783bc4438840dbba737d0e502_2_300x295.webp
Nonstick Sufurias Set,"6,500",https://pictures-kenya.jijistatic.com/1297812_fb-img-1562236156480_2_300x291.webp
Head Band at 750,700,https://pictures-kenya.jijistatic.com/46811959_MzAwLTMwMC1iY2Q4NTFlYmYx.webp
47pcs Dinner Set,"7,500",https://pictures-kenya.jijistatic.com/42769879_MzAwLTIyNS0yM2RlNjkxMWVmLTI.webp
4in1 Under Garments Organizer,"1,500",https://pictures-kenya.jijistatic.com/32303442_MzAwLTMwMC00ODQxOTQ0ZGJlLTI.webp
