Product,Price,Image
Mini Sewing Machine,"2,800",https://pictures-kenya.jijistatic.com/20262884_MzAwLTMwMC0wMDlhNThiODdjLTI.webp
Baby Rocking Chair,"4,500",https://pictures-kenya.jijistatic.com/25956914_MzAwLTMwMC01ZWNiNWNiODhkLTI.webp
Official Men Shirts,"1,500",https://pictures-kenya.jijistatic.com/8838084_1f2cb1515ca04ed8b0e26820e12d7961_2_300x300.webp
All Blue Air Bed,"15,000",https://pictures-kenya.jijistatic.com/7030461_img-20200226-wa0054_2_300x221.webp
Original Timberland,"4,500",https://pictures-kenya.jijistatic.com/6133065_img-20200124-223039-793_2_300x300.webp
Popscles Mould at 750,750,https://pictures-kenya.jijistatic.com/30846889_MzAwLTI5OC0zYmM3MTEwM2MwLTI.webp
Electric Vegetable Chopper /Meat Mincer,"2,500",https://pictures-kenya.jijistatic.com/21258178_MzAwLTI5MC0zODBiZWZiZWNkLTI.webp
These 50pcs/Set Trash Bags,"1,500",https://pictures-kenya.jijistatic.com/31807800_MzAwLTMwMC1mMmQ2MTNlYWFhLTI.webp
Kitchen Organizer,"2,500",https://pictures-kenya.jijistatic.com/8295085_fb-img-1587703677295_2_300x220.webp
Chapati Maker,"5,500",https://pictures-kenya.jijistatic.com/8333789_fb-img-1587878133315_2_300x221.webp
Pack of Arm Trimmer + Thigh Trimmer,"2,500",https://pictures-kenya.jijistatic.com/43553713_MzAwLTMwMC1hZTNmNGEwMzExLTE.webp
14pcs Aluminum Sufurias,"5,800",https://pictures-kenya.jijistatic.com/8341580_fb-img-1587907337984_2_300x533.webp
"3in1 Chess, Checkers Backgammon","1,800",https://pictures-kenya.jijistatic.com/8325006_img-20200425-wa0072_2_300x300.webp
Commercial Chips Fryer,"8,500",https://pictures-kenya.jijistatic.com/43060716_MzAwLTMwMC1jNTU4MTRkN2Q2LTE.webp
"Resistant Bands, Crossfit Training","2,800",https://pictures-kenya.jijistatic.com/51061623_MzAwLTMwMC04ZGQwNjRhMDIw.webp
High Quality Knitted Throw Blankets With Tassel,"2,500",https://pictures-kenya.jijistatic.com/38918558_MzAwLTMwMC1lYjExZGNkNTljLTI.webp
Airforce Sneakers,"2,500",https://pictures-kenya.jijistatic.com/12967874_fb-img-1601549394375_2_300x300.webp
Pink Moses Basket,"2,500",https://pictures-kenya.jijistatic.com/31262110_MzAwLTQ4OS1hNTFhYzg2MDc0LTI.webp
Triple Buffet Food Warmer,"8,000",https://pictures-kenya.jijistatic.com/31275035_MzAwLTMwMC1hMDNhYTA4MjdmLTI.webp
Storage Containers,499,https://pictures-kenya.jijistatic.com/22550744_MzAwLTMwMC0yNjk4YTk2YzFjLTI.webp
Cacatua Leather And Suede Boots,"2,500",https://pictures-kenya.jijistatic.com/7276005_fb-img-1583317967917_2_300x375.webp
Mosquito Net,"2,000",https://pictures-kenya.jijistatic.com/1192903_fb-img-1561067459116_2_300x450.webp
Star Storewel Container Rectangular Available for Delivery .,"2,500",https://pictures-kenya.jijistatic.com/31700638_MzAwLTMwMC01MTNmOWU3OTM0LTI.webp
Popcorn Machine,"3,500",https://pictures-kenya.jijistatic.com/8533162_fb-img-1588523835661_2_300x270.webp
"DMG Electric Callus Remover for Feet,","2,500",https://pictures-kenya.jijistatic.com/43705395_MzAwLTMwMC0xMzAzMTZhYjU0LTE.webp
Infantino 4 in 1 Baby Carrier Carries 3kgs to 14.5kgs,"3,500",https://pictures-kenya.jijistatic.com/32197554_MzAwLTI5Ny03MmZiNDM1YzdjLTI.webp
Chafing Food Warmers,"8,000",https://pictures-kenya.jijistatic.com/20984024_MzAwLTMwMC04ODY5MTVlOTQzLTI.webp
Exercise Kit,999,https://pictures-kenya.jijistatic.com/30280721_MzAwLTMwMC1lMTJlNjU1MjAzLTI.webp
Clear/White 4pcs Pvc Fridge Mats,800,https://pictures-kenya.jijistatic.com/17660923_photogrid-plus-1614539769847_2_300x300.webp
2in1 Baby Walker,"6,500",https://pictures-kenya.jijistatic.com/25043742_MzAwLTQwMS02N2Y5MzI5NThiLTI.webp
AB Roller Available,"1,000",https://pictures-kenya.jijistatic.com/17817971_photogrid-plus-1614872210821_2_300x300.webp
Whistling Kettle,"3,500",https://pictures-kenya.jijistatic.com/8417787_img-20200430-wa0031_2_300x375.webp
4pc Turkish Hotpot,"5,000",https://pictures-kenya.jijistatic.com/60077945_MzAwLTQyMS0zYzcxODE4NmNm.webp
3in1 Breakfast Set,"6,000",https://pictures-kenya.jijistatic.com/20478599_MzAwLTI4My1mODEzOGNjMGUzLTI.webp
Fitted Bedsheet With 4 Pillowcases,"3,000",https://pictures-kenya.jijistatic.com/4382191_img-20191112-wa0111_2_300x241.webp
4 Gas Cooker at 5000,"5,000",https://pictures-kenya.jijistatic.com/46579263_MzAwLTIyNS1hMDdjNDg2OGRl.webp
Triple Chafing/Food Warmers,"7,500",https://pictures-kenya.jijistatic.com/26441277_MzAwLTIyNS01M2I2ODQ0ZjAwLTI.webp
4 Slices 3in1 Sandwich Maker,"4,500",https://pictures-kenya.jijistatic.com/21161326_MzAwLTMwMC01NGU1ODJjYTNlLTI.webp
Premier Room Heater,"2,500",https://pictures-kenya.jijistatic.com/11324571_img-20200810-wa0056_2_300x300.webp
Fluffy Carpets,"3,000",https://pictures-kenya.jijistatic.com/1297624_fb-img-1561462968345_2_300x250.webp
Nova Baby Shaver,999,https://pictures-kenya.jijistatic.com/30640184_MzAwLTMwMC0xY2RjNTRiNGIyLTI.webp
Counter Top Mat,800,https://pictures-kenya.jijistatic.com/19630300_MzAwLTI3Ny0xZDg2NjJmMGVlLTI.webp
6ltrs Deep Fryer,"5,500",https://pictures-kenya.jijistatic.com/7043847_img-20200226-165924-661_2_300x225.webp
Tea Set Flask +Cups,"2,500",https://pictures-kenya.jijistatic.com/57504353_MzAwLTMwMC1lMWVhYTQ0NWYx.webp
13pcs Table Set Available,"4,000",https://pictures-kenya.jijistatic.com/34919429_MzAwLTMwMC0yYjNiMDkwOTMyLTI.webp
Electric Tea Urn,"9,500",https://pictures-kenya.jijistatic.com/21613804_MzAwLTQwMC1iNTM2ZTljNWFiLTI.webp
Programmable Coffee Maker,"4,500",https://pictures-kenya.jijistatic.com/18639704_img-20210330-wa0060_2_300x347.webp
White Water Dispenser,"5,500",https://pictures-kenya.jijistatic.com/7151969_img-20200302-wa0048_2_300x400.webp
Table Mats With A Runner,"1,500",https://pictures-kenya.jijistatic.com/2135996_img-20190806-wa0193_2_300x200.webp
Potato Chipper for Commercial Purposes,"4,500",https://pictures-kenya.jijistatic.com/29138514_MzAwLTQwNS1jZmUzOGUzOTA3LTI.webp
Good Quality Plates,"1,500",https://pictures-kenya.jijistatic.com/21722129_MzAwLTMwMC1lMWYyNzIzYmU4LTI.webp
Shower Candy/Bathroom Organizer,"2,000",https://pictures-kenya.jijistatic.com/17575175_img-20210225-wa0375_2_300x375.webp
Metallic Bathroom Organizer,"4,000",https://pictures-kenya.jijistatic.com/8605508_img-20200508-wa0093_2_300x533.webp
3in1 Mixer,"20,000",https://pictures-kenya.jijistatic.com/44735170_MzAwLTQwMC00MGM0NDUzNWI5.webp
Blue Baby Walker,"3,500",https://pictures-kenya.jijistatic.com/31444540_MzAwLTM1Mi1hNjg0N2I4ODE1LTI.webp
Saral Pressure Cooker,"3,000",https://pictures-kenya.jijistatic.com/22915067_MzAwLTMwMC0yZWZlNzEwMDUxLTI.webp
